"I don't always like _, but when I do, I lol.",Fill in the Blank,
My gift for Greece is _ .,Fill in the Blank,
I got _ at my 14th birthday. That's the way it is!,Fill in the Blank,
I have pie with flavor of _.,Fill in the Blank,
I really get horny while watching _.,Fill in the Blank,
I will conquer the world with an army of _ and cookies.,Fill in the Blank,
Passing _.,Fill in the Blank,
As a famous pornstar I'm known as _.,Fill in the Blank,
"Oh, c'mon! It's just _.",Fill in the Blank,
"When I have an orgasm, I scream for _.",Fill in the Blank,
What is the key to heaven? _,Fill in the Blank,
"My dream is to become a judge, who can force people to deal with _.",Fill in the Blank,
I wouldn't favour a monkey dictatorship over _. For real!,Fill in the Blank,
If you wanna impress the guy/chick do _!,Fill in the Blank,
In klingon: Hoch DaSopbe´chugh batlh bIHeghbe´ means _,Fill in the Blank,
_ students will know it.,Fill in the Blank,
Kneel before the might of _.,Fill in the Blank,
My favorite sex-position is called _.,Fill in the Blank,
_? There´s an app for that.,Fill in the Blank,
Why can´t I sleep at night? _,Fill in the Blank,
What´s that smell? _,Fill in the Blank,
I got 99 problems but _ ain´t one.,Fill in the Blank,
Maybe she´s born with it. Maybe it´s _.,Fill in the Blank,
What´s the next Happy Meal toy? _,Fill in the Blank,
Anthropologists have recently discovere a primitive tribe tha worships _.,Fill in the Blank,
It ´s a pity that kids these days are all getting involved with _.,Fill in the Blank,
"During Picasso´s often-overlooked Brown Period, he produced hundreds of paintings of _.",Fill in the Blank,
Alternative medicine is now embracing the curative powers of _.,Fill in the Blank,
What´s that sound? _,Fill in the Blank,
What ended my last relationship? _,Fill in the Blank,
MTV´s new reality show features eight washed-up celebrities living with _.,Fill in the Blank,
I drink to forget _.,Fill in the Blank,
"I´m sorry Professor, but I couldn´t complete my homework because of _.",Fill in the Blank,
What is Batman´s guilty pleasure? _,Fill in the Blank,
This is the way the world ends/This is the way the world ends/ Not with a bang but with _.,Fill in the Blank,
What´s a girls best friend? _,Fill in the Blank,
TSA guidelines now prohibit _ on airplanes.,Fill in the Blank,
_ . That's how i want to die.,Fill in the Blank,
"In the new Disney Channel Original Movie, Hannah Montana struggles with _ for the first time.",Fill in the Blank,
What does Dick Chaney prefer? _,Fill in the Blank,
"Dear Abby, I'm having some trouble with _ and would like your advice.",Fill in the Blank,
Instead of coal Santa now gives the bad children _ .,Fill in the Blank,
What's the most emo? _,Fill in the Blank,
"In 1000 years, when paper money is but a distant memory, _ will be our currency.",Fill in the Blank,
